neighborhood,pop,Murder,Rape,Robbery,Armed Robbery,Agg. Assault,Agg. Assault w/ Gun,all_person,Burglary,Larceny,Auto Theft,Arson,all_property,total,points
Tiffany,1060,0,3,6,5,14,7,23,11,61,22,0,94,117,"299.571,519.962 280.878,515.994 276.677,528.895 273.083,534.52 270.779,550.521 290.287,552.267 292.68,538.294"
Tower Grove East,5853,1,7,30,18,45,18,83,97,314,87,4,502,585,"285.635,576.469 280.269,601.018 274.737,636.655 278.459,634.446 284.431,628.373 292.979,622.979 306.577,612.47 320.486,604.635 325.41,581.495"
Tower Grove South,13333,0,7,51,27,68,26,126,186,567,153,4,910,1036,"186.496,592.951 183.496,611.421 179.902,625.783 179.448,630.116 172.276,640.405 272.927,651.044 280.102,601.018 278.319,600.537 195.001,592.833"
Vandeventer,1682,0,2,13,12,48,28,63,43,70,16,2,131,194,"315.731,433.48 270.716,413.635 251.416,440.136 296.299,459.412"
Visitation Park,960,0,4,1,1,8,0,13,15,31,15,0,61,74,"175.867,403.242 155.845,400.903 152.549,424.378 168.1,426.008 172.276,427.067"
Walnut Park East,4130,2,10,21,14,71,46,104,127,97,50,8,282,386,"216.731,268.774 218.956,265.23 232.115,257.216 243.865,250.286 255.54,238.445 284.833,271.874 238.049,297.135 225.768,291.771 221.425,288.099 218.904,285.757 216.436,274.215"
Walnut Park West,3349,3,5,24,15,75,57,107,121,108,45,1,275,382,"198.116,257.513 233.189,213.754 236.16,216.61 255.384,238.264 243.336,250.337 218.828,265.1 215.981,268.838 212.53,264.637 208.058,261.365"
Wells-Goodfellow,5895,7,7,39,33,118,67,171,135,235,78,6,454,625,"127.909,346.581 165.448,299.41 173.077,306.067 178.595,310.515 192.055,318.916 198.944,322.988 224.192,334.197 191.756,381.252"
West End,6574,1,6,37,18,75,42,119,99,276,56,1,432,551,"73.46,416.686 114.826,365.146 176.669,398.42 175.675,402.801 155.417,400.695 152.276,424.107"
Wydown-Skinker,1056,0,0,0,0,0,0,0,5,17,3,0,25,25,"57.157,493.086 61.956,464.35 62.394,461.301 63.892,459.901 63.672,458.505 64.876,457.977 64.707,456.346 65.329,454.703 67.188,441.972 75.85,443.02 74.067,454.125 70.486,464.465 67.771,475.153 64.422,493.902 63.75,496.654"
